542  818  SP2_SP2  N  4:3:3:  3:2:2:  C[5]-2_2_0:C[5]-2_2_2:C[5]-3_2_0_0  N[5]-3_2_2:N[5]-3_2:N[5]-3_2  646_4593_1  417_28075_2  1.3525  0.0000  1  1.3628  0.0145  2  
542  818  SP2_SP2  N  4:3:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:C[5]-3_2_2_0  C[5]-3_2_2:C[5]-3_3_2:N[5]-3_2_2  646_5678_1  417_15032_1  1.4150  0.0000  1  1.4150  0.0000  1  
542  818  SP2_SP2  N  4:3:3:  3:3:3:  C[5]-2_2_2:C[5]-2_2_2:C[5]-3_3_2_0  C[5]-3_2_2:C[5]-3_2_2:N[5]-3_2_2  646_3999_1  417_20092_1  1.4052  0.0000  1  1.4052  0.0000  1  
542  818  SP2_SP2  N  4:3:3:  3:4:3:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-2_2_2:C[5]-3_2_2_0:N[5]-3_2_2  646_4532_3  417_13945_1  1.4086  0.0000  1  1.4086  0.0000  1  
542  818  SP2_SP2  N  4:3:3:  3:4:3:  C[5]-3_2_0_0:C[5]-3_2_2:C[5]-3_2_2  C[5]-2_2_2:C[5]-3_2_2_0:N[5]-3_2_2  646_4531_1  417_20130_1  1.3507  0.0000  1  1.3507  0.0000  1  
542  818  SP2_SP2  N  4:3:3:  4:3:3:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-2_2_2:C[5]-3_2_2_2:N[5]-3_2_2  646_4532_2  417_20342_1  1.4130  0.0000  1  1.4130  0.0000  1  
542  818  SP2_SP2  N  4:3:3:  4:3:3:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-2_2_2_0:C[5]-3_2_2:N[5]-3_2_2  646_4532_1  417_14343_1  1.3976  0.0000  1  1.3976  0.0000  1  
542  818  SP2_SP2  N  4:4:3:  3:3:2:  C[5]-2_2_2:C[5]-3_2_0_0:C[5]-3_2_0_0  N[5]-2_2_2:N[5]-3_2:N[5]-3_3_2  646_4900_1  417_29932_1  1.3432  0.0031  2  1.3432  0.0031  2  
542  818  SP2_SP2  N  4:4:3:  4:3:2:  C[5]-3_2_2_0:C[5]-3_2_2_0:C[5]-3_2_2  C[5]-3_2_0_0:N[5]-3_2:N[5]-3_3_2  646_5866_1  417_17725_1  1.3603  0.0000  1  1.3603  0.0000  1  
542  818  SP2_SP2  N  4:4:3:  4:3:3:  C[5]-2_2_0_0:C[5]-2_2_0_0:C[5]-3_2_2  C[5]-2_2_0:C[5]-3_2_2_0:N[5]-3_3_2  646_4899_1  417_23495_1  1.3211  0.0000  1  1.3211  0.0000  1  
542  818  SP2_SP2  N  4:4:3:  4:3:3:  C[5]-3_2_0_0:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-2_2_0_0:C[5]-3_2_2:N[5]-3_3_2  646_4899_3  417_17133_1  1.3278  0.0000  1  1.3278  0.0000  1  
542  818  SP2_SP2  N  4:4:3:  4:3:3:  C[5]-3_2_0_0:C[5]-3_2_0_0:C[5]-3_2_2  C[5]-3_2_0_0:C[5]-3_2_2:N[5]-3_3_2  646_4899_2  417_17133_2  1.3228  0.0000  1  1.3228  0.0000  1  
542  818  SP2_SP2  Y  2:3:1:  4:3:3:  C[5]-3_2_2:O-2:O[5]-3_2  C-2_2_2:C[5]-3_2_2_0:N[5]-3_2_2  646_8483_1  417_12167_1  1.3109  0.0063  2  1.3109  0.0063  2  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-2_2  646_6450_1  417_30752_1  1.3221  0.0000  1  1.3221  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:O[5]-2_2:S-2  646_6834_1  417_30758_1  1.3295  0.0051  6  1.3271  0.0066  26  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:O[5]-2_2:S-2  646_6834_2  417_30758_2  1.3264  0.0069  20  1.3271  0.0066  26  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:S-2:S[5]-2_2  646_6875_1  417_30763_1  1.3485  0.0000  1  1.3335  0.0084  11  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:S-2:S[5]-2_2  646_6875_2  417_30763_2  1.3415  0.0000  1  1.3335  0.0084  11  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:S-2:S[5]-2_2  646_6875_3  417_30763_3  1.3352  0.0000  1  1.3335  0.0084  11  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:S-2:S[5]-2_2  646_6875_4  417_30763_4  1.3318  0.0076  4  1.3335  0.0084  11  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:S-2:S[5]-2_2  646_6875_5  417_30763_5  1.3320  0.0042  2  1.3335  0.0084  11  
