643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10567_1  586_189_0  2.0959  0.0000  1  2.0959  0.0000  1  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10631_1  586_189_0  2.0997  0.0164  25  2.0988  0.0134  40  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10631_2  586_189_0  2.0989  0.0043  2  2.0988  0.0134  40  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10631_3  586_189_0  2.0962  0.0000  1  2.0988  0.0134  40  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10631_4  586_189_0  2.1035  0.0000  1  2.0988  0.0134  40  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10631_5  586_189_0  2.0967  0.0065  11  2.0988  0.0134  40  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10671_1  586_189_0  2.1006  0.0000  1  2.0995  0.0016  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_10671_2  586_189_0  2.0983  0.0000  1  2.0995  0.0016  2  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11164_1  586_189_0  2.1025  0.0000  1  2.1022  0.0054  56  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11164_2  586_189_0  2.1022  0.0038  19  2.1022  0.0054  56  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11164_3  586_189_0  2.1021  0.0062  36  2.1022  0.0054  56  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11993_1  586_189_0  2.1011  0.0095  21  2.0978  0.0116  32  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11993_2  586_189_0  2.0751  0.0275  2  2.0978  0.0116  32  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11993_3  586_189_0  2.1007  0.0022  4  2.0978  0.0116  32  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11993_4  586_189_0  2.0919  0.0043  4  2.0978  0.0116  32  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_11993_5  586_189_0  2.0871  0.0000  1  2.0978  0.0116  32  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13298_1  586_189_0  2.0989  0.0000  1  2.0949  0.0104  18  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13298_2  586_189_0  2.0938  0.0000  1  2.0949  0.0104  18  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13298_3  586_189_0  2.0795  0.0000  1  2.0949  0.0104  18  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13298_4  586_189_0  2.0942  0.0078  12  2.0949  0.0104  18  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13298_5  586_189_0  2.0884  0.0000  1  2.0949  0.0104  18  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13298_6  586_189_0  2.1085  0.0220  2  2.0949  0.0104  18  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13375_1  586_189_0  2.1080  0.0035  4  2.1048  0.0081  8  
643  944  SP-NON_SP2  N  3:3:1:  3:  C[6a]-2_2_0:C[6a]-2_2_0:I-2  C[6a]-2_2_0  451_13375_2  586_189_0  2.0966  0.0145  2  2.1048  0.0081  8  
