MetalElem   OtherElem   Bonds_mean      Bonds_stdev     NumSamples
Rh          C           2.12758515      0.11480717          8640  
Rh          Cl          2.40224968      0.06093497          1326  
Rh          F           2.08972737      0.08490111            19  
Rh          I           2.71876497      0.12483468           187  
Rh          N           2.09046385      0.07564363          2318  
Rh          O           2.08249916      0.08087927          1449  
Rh          P           2.28925292      0.07615301          1588  
Rh          S           2.35363430      0.08408243           630  
Rh          Se          2.47305698      0.03314262            43  
Ru          B           2.23484970      0.09855893           330  
Ru          Br          2.57017026      0.05374417           116  
Ru          C           2.13056049      0.14274809         21290  
Ru          Cl          2.41004775      0.04591750          3223  
Ru          F           2.12583706      0.15411893            17  
Ru          I           2.72717000      0.04511551           127  
Ru          N           2.07582993      0.08143095          7652  
Ru          O           2.08285315      0.09648168          3179  
Ru          P           2.33623363      0.09184931          2974  
Ru          S           2.35074567      0.07469248          1442  
Ru          Se          2.50284120      0.05575136           117  
Sc          B           2.48927667      0.03653877             3  
Sc          Br          2.64156333      0.06276999            12  
Sc          C           2.38550821      0.19389830           403  
Sc          Cl          2.47734016      0.06622970            63  
Sc          F           2.06574901      0.07810456           111  
Sc          I           2.85058000      0.05258169             4  
Sc          N           2.22266366      0.12833635           413  
Sc          O           2.12600451      0.10282240           534  
Sc          P           2.72465872      0.15113468            39  
Sc          S           2.62206200      0.13260396            25  
Sc          Se          2.54373500      0.00116673             2  
Sm          B           3.05625667      0.21508683             6  
Sm          Br          2.91881000      0.10268405             9  
Sm          C           2.76989922      0.17849512           448  
Sm          Cl          2.76407914      0.11776548           105  
Sm          F           2.68863267      0.30320477            30  
Sm          I           3.31068111      0.22505339            36  
Sm          N           2.54638319      0.11801032           886  
Sm          O           2.46395012      0.12726947          4481  
Sm          P           2.99842138      0.12384103            29  
Sm          S           2.91109972      0.18418081            36  
Sm          Se          3.02339619      0.15284469            84  
Sr          Br          3.26027000      0.26739466             4  
Sr          C           3.01023000      0.23223802            30  
Sr          Cl          3.09613286      0.36161745            14  
Sr          F           2.59589700      0.19379384           210  
Sr          I           3.47322382      0.24933028            34  
Sr          N           2.71588110      0.15762826           353  
Sr          O           2.64932060      0.15243493          3167  
Sr          P           3.19680917      0.16695205            12  
Sr          S           3.13642692      0.13195880            39  
Sr          Se          3.25342689      0.14375584            45  
Ta          B           2.44143580      0.08391366           112  
Ta          Br          2.52421769      0.08104021            65  
Ta          C           2.29482807      0.16196540           695  
Ta          Cl          2.40439624      0.08394399           505  
Ta          F           1.91283381      0.04618226            84  
Ta          I           2.82478467      0.11458000            15  
Ta          N           2.07046819      0.16515895           917  
Ta          O           2.00962910      0.12631382           981  
Ta          P           2.75363609      0.26696751            87  
Ta          S           2.49588254      0.15106597           197  
Ta          Se          2.61536654      0.11407969            52  
Tb          B           2.68549000      0.04031623             8  
Tb          C           2.70143324      0.16516356            74  
Tb          Cl          2.71058867      0.12400139            45  
Tb          F           2.23141833      0.05023887             6  
Tb          I           3.00334833      0.02417267             6  
Tb          N           2.54236447      0.08683570          1039  
Tb          O           2.41211132      0.12739382          7501  
Tb          P           2.94586727      0.17431517            11  
Tb          S           2.89461190      0.23338771            21  
Tb          Se          2.99917304      0.19939176            23  
Tc          Br          2.56008462      0.19142097            39  
Tc          C           2.09821256      0.14645473           129  
Tc          Cl          2.38115216      0.10746938            51  
Tc          F           2.00934800      0.14451509            70  
Tc          N           2.09245842      0.18407550           101  
Tc          O           1.76552883      0.16608146           196  
Tc          P           2.46982462      0.19320400            13  
Tc          S           2.39454804      0.10409716            51  
Tc          Se          2.47605412      0.04726720            17  
Th          Br          2.81177636      0.02535555            11  
Th          C           2.79894006      0.22186374           485  
Th          Cl          2.74780690      0.12173550            71  
Th          F           2.37338358      0.11986466            67  
Th          I           3.10353000      0.05817847             7  
Th          N           2.51086136      0.14421565           389  
Th          O           2.46829044      0.14076908          1030  
Th          P           3.24574419      0.34730170            43  
Th          S           2.92808569      0.15064340           144  
Th          Se          3.05511452      0.14923433           126  
Ti          B           2.46352021      0.11468671            48  
Ti          Br          2.47726681      0.10707605            47  
Ti          C           2.32427895      0.12398629          2471  
Ti          Cl          2.33532879      0.09572318          1075  
Ti          F           1.89558941      0.10462127           287  
Ti          I           3.17821529      0.60703686            17  
Ti          N           2.06655586      0.17431335          2471  
Ti          O           1.93668498      0.12550746          3699  
Ti          P           2.66077940      0.19255333           133  
Ti          S           2.44046120      0.11380269           209  
Ti          Se          2.60206000      0.13615424           134  
Tm          B           2.67041000      0.01210638             3  
Tm          C           2.60641000      0.18252385            97  
Tm          Cl          2.85304400      0.44991480            10  
Tm          F           2.22877859      0.04449598            85  
Tm          I           2.97460429      0.08545347             7  
Tm          N           2.51048360      0.09627694           125  
Tm          O           2.34277870      0.12093127          1001  
